Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
10/28/16,08:00:00 PM,Charlotte Hornets,97,Miami Heat,91,Box Score,,19600,
10/28/16,09:30:00 PM,Golden State Warriors,122,New Orleans Pelicans,114,Box Score,,18217,
10/28/16,08:00:00 PM,Phoenix Suns,110,Oklahoma City Thunder,113,Box Score,OT,18203,
10/28/16,07:00:00 PM,Cleveland Cavaliers,94,Toronto Raptors,91,Box Score,,19800,
10/28/16,09:00:00 PM,Los Angeles Lakers,89,Utah Jazz,96,Box Score,,19911,
10/29/16,08:00:00 PM,Indiana Pacers,101,Chicago Bulls,118,Box Score,,21373,
10/29/16,07:00:00 PM,Boston Celtics,104,Charlotte Hornets,98,Box Score,,18708,
10/29/16,07:30:00 PM,Orlando Magic,99,Cleveland Cavaliers,105,Box Score,,20562,
10/29/16,09:00:00 PM,Portland Trail Blazers,115,Denver Nuggets,113,Box Score,OT,18055,
10/29/16,08:00:00 PM,Brooklyn Nets,108,Milwaukee Bucks,110,Box Score,,12570,
10/29/16,07:30:00 PM,Memphis Grizzlies,104,New York Knicks,111,Box Score,,19812,
10/29/16,12:30:00 PM,Atlanta Hawks,104,Philadelphia 76ers,72,Box Score,,16312,
10/29/16,10:30:00 PM,Minnesota Timberwolves,103,Sacramento Kings,106,Box Score,,17608,
10/29/16,08:00:00 PM,New Orleans Pelicans,79,San Antonio Spurs,98,Box Score,,18418,
10/30/16,06:00:00 PM,Milwaukee Bucks,83,Detroit Pistons,98,Box Score,,15161,
10/30/16,08:00:00 PM,Dallas Mavericks,92,Houston Rockets,93,Box Score,,18055,
10/30/16,04:30:00 PM,Utah Jazz,75,Los Angeles Clippers,88,Box Score,,19060,
10/30/16,08:00:00 PM,Washington Wizards,103,Memphis Grizzlies,112,Box Score,OT,15573,
10/30/16,06:00:00 PM,San Antonio Spurs,106,Miami Heat,99,Box Score,,19678,
10/30/16,07:00:00 PM,Los Angeles Lakers,96,Oklahoma City Thunder,113,Box Score,,18203,
10/30/16,06:00:00 PM,Golden State Warriors,106,Phoenix Suns,100,Box Score,,17011,
10/31/16,07:30:00 PM,Sacramento Kings,95,Atlanta Hawks,106,Box Score,,12501,
10/31/16,07:30:00 PM,Chicago Bulls,118,Brooklyn Nets,88,Box Score,,15842,
10/31/16,10:30:00 PM,Phoenix Suns,98,Los Angeles Clippers,116,Box Score,,19060,
10/31/16,07:30:00 PM,Denver Nuggets,102,Toronto Raptors,105,Box Score,,19800,
11/01/16,06:00:00 PM,Houston Rockets,120,Cleveland Cavaliers,128,Box Score,,20562,
11/01/16,07:30:00 PM,New York Knicks,89,Detroit Pistons,102,Box Score,,13087,
11/01/16,07:00:00 PM,Los Angeles Lakers,108,Indiana Pacers,115,Box Score,,15348,
11/01/16,07:30:00 PM,Sacramento Kings,96,Miami Heat,108,Box Score,OT,19612,
11/01/16,08:00:00 PM,Memphis Grizzlies,80,Minnesota Timberwolves,116,Box Score,,14774,
11/01/16,08:00:00 PM,Milwaukee Bucks,117,New Orleans Pelicans,113,Box Score,,15515,
11/01/16,07:00:00 PM,Orlando Magic,103,Philadelphia 76ers,101,Box Score,,12529,
11/01/16,10:00:00 PM,Golden State Warriors,127,Portland Trail Blazers,104,Box Score,,19393,
11/01/16,08:30:00 PM,Utah Jazz,106,San Antonio Spurs,91,Box Score,,18418,
11/02/16,07:30:00 PM,Los Angeles Lakers,123,Atlanta Hawks,116,Box Score,,13800,
11/02/16,08:00:00 PM,Chicago Bulls,100,Boston Celtics,107,Box Score,,18624,
11/02/16,07:30:00 PM,Detroit Pistons,101,Brooklyn Nets,109,Box Score,,13650,
11/02/16,07:00:00 PM,Philadelphia 76ers,93,Charlotte Hornets,109,Box Score,,15275,
11/02/16,10:30:00 PM,Oklahoma City Thunder,85,Los Angeles Clippers,83,Box Score,,19060,
11/02/16,08:00:00 PM,New Orleans Pelicans,83,Memphis Grizzlies,89,Box Score,OT,15881,
11/02/16,07:30:00 PM,Houston Rockets,118,New York Knicks,99,Box Score,,19812,
11/02/16,10:00:00 PM,Portland Trail Blazers,115,Phoenix Suns,118,Box Score,OT,17284,
11/02/16,09:00:00 PM,Dallas Mavericks,81,Utah Jazz,97,Box Score,,19318,
11/02/16,07:00:00 PM,Toronto Raptors,113,Washington Wizards,103,Box Score,,19581,
11/03/16,08:00:00 PM,Boston Celtics,122,Cleveland Cavaliers,128,Box Score,,20562,
11/03/16,10:30:00 PM,Oklahoma City Thunder,96,Golden State Warriors,122,Box Score,,19596,
11/03/16,08:00:00 PM,Indiana Pacers,107,Milwaukee Bucks,125,Box Score,,11374,
11/03/16,08:00:00 PM,Denver Nuggets,102,Minnesota Timberwolves,99,Box Score,,11219,
11/03/16,07:00:00 PM,Sacramento Kings,94,Orlando Magic,102,Box Score,,17026,
11/04/16,07:30:00 PM,Charlotte Hornets,99,Brooklyn Nets,95,Box Score,,15775,
11/04/16,08:00:00 PM,New York Knicks,117,Chicago Bulls,104,Box Score,,22376,
11/04/16,08:30:00 PM,Portland Trail Blazers,105,Dallas Mavericks,95,Box Score,,19475,
11/04/16,10:30:00 PM,Golden State Warriors,97,Los Angeles Lakers,117,Box Score,,18997,
11/04/16,08:00:00 PM,Los Angeles Clippers,99,Memphis Grizzlies,88,Box Score,,17115,
11/04/16,08:00:00 PM,Phoenix Suns,112,New Orleans Pelicans,111,Box Score,OT,15379,
11/04/16,07:30:00 PM,Miami Heat,87,Toronto Raptors,96,Box Score,,19800,
11/04/16,09:00:00 PM,San Antonio Spurs,100,Utah Jazz,86,Box Score,,19911,
11/04/16,07:00:00 PM,Atlanta Hawks,92,Washington Wizards,95,Box Score,,14663,
11/05/16,07:30:00 PM,Houston Rockets,97,Atlanta Hawks,112,Box Score,,16895,
11/05/16,07:00:00 PM,Denver Nuggets,86,Detroit Pistons,103,Box Score,,16218,
11/05/16,07:00:00 PM,Chicago Bulls,94,Indiana Pacers,111,Box Score,,17020,
11/05/16,08:00:00 PM,Sacramento Kings,91,Milwaukee Bucks,117,Box Score,,16021,
11/05/16,06:00:00 PM,Minnesota Timberwolves,92,Oklahoma City Thunder,112,Box Score,,18203,
11/05/16,07:00:00 PM,Washington Wizards,86,Orlando Magic,88,Box Score,,18846,
11/05/16,07:00:00 PM,Cleveland Cavaliers,102,Philadelphia 76ers,101,Box Score,,20497,
11/05/16,08:30:00 PM,Los Angeles Clippers,116,San Antonio Spurs,92,Box Score,,18418,
11/06/16,07:30:00 PM,Denver Nuggets,123,Boston Celtics,107,Box Score,,17452,
11/06/16,07:00:00 PM,Milwaukee Bucks,75,Dallas Mavericks,86,Box Score,OT,19345,
11/06/16,09:30:00 PM,Phoenix Suns,108,Los Angeles Lakers,119,Box Score,,18997,
11/06/16,03:30:00 PM,Portland Trail Blazers,100,Memphis Grizzlies,94,Box Score,,16233,
11/06/16,12:00:00 PM,Utah Jazz,114,New York Knicks,109,Box Score,,19812,
11/06/16,06:00:00 PM,Sacramento Kings,96,Toronto Raptors,91,Box Score,,19800,
11/07/16,08:00:00 PM,Orlando Magic,80,Chicago Bulls,112,Box Score,,21320,
11/07/16,07:00:00 PM,Indiana Pacers,100,Charlotte Hornets,122,Box Score,,16880,
11/07/16,10:30:00 PM,New Orleans Pelicans,106,Golden State Warriors,116,Box Score,,19596,
11/07/16,10:30:00 PM,Detroit Pistons,82,Los Angeles Clippers,114,Box Score,,19060,
11/07/16,08:00:00 PM,Miami Heat,85,Oklahoma City Thunder,97,Box Score,,18203,
11/07/16,07:00:00 PM,Utah Jazz,109,Philadelphia 76ers,84,Box Score,,14168,
11/07/16,07:00:00 PM,Houston Rockets,114,Washington Wizards,106,Box Score,,13173,
11/08/16,07:30:00 PM,Minnesota Timberwolves,110,Brooklyn Nets,119,Box Score,,13610,
11/08/16,07:00:00 PM,Atlanta Hawks,110,Cleveland Cavaliers,106,Box Score,,20562,
11/08/16,10:30:00 PM,Dallas Mavericks,109,Los Angeles Lakers,97,Box Score,,18997,
11/08/16,08:00:00 PM,Denver Nuggets,107,Memphis Grizzlies,108,Box Score,,15109,
11/08/16,10:00:00 PM,Phoenix Suns,121,Portland Trail Blazers,124,Box Score,,19239,
11/08/16,10:30:00 PM,New Orleans Pelicans,94,Sacramento Kings,102,Box Score,,17608,
11/09/16,07:30:00 PM,Chicago Bulls,107,Atlanta Hawks,115,Box Score,,16354,
11/09/16,07:00:00 PM,Utah Jazz,98,Charlotte Hornets,104,Box Score,,15712,
11/09/16,10:30:00 PM,Dallas Mavericks,95,Golden State Warriors,116,Box Score,,19596,
11/09/16,07:00:00 PM,Philadelphia 76ers,115,Indiana Pacers,122,Box Score,OT,15360,
11/09/16,10:30:00 PM,Portland Trail Blazers,80,Los Angeles Clippers,111,Box Score,,19060,
11/09/16,07:00:00 PM,Brooklyn Nets,96,New York Knicks,110,Box Score,,19812,
11/09/16,08:00:00 PM,Toronto Raptors,112,Oklahoma City Thunder,102,Box Score,,18203,
11/09/16,07:00:00 PM,Minnesota Timberwolves,123,Orlando Magic,107,Box Score,,17102,
11/09/16,09:00:00 PM,Detroit Pistons,100,Phoenix Suns,107,Box Score,,16719,
11/09/16,09:30:00 PM,Houston Rockets,101,San Antonio Spurs,99,Box Score,,18418,
11/09/16,07:00:00 PM,Boston Celtics,93,Washington Wizards,118,Box Score,,12675,
11/10/16,09:00:00 PM,Golden State Warriors,125,Denver Nuggets,101,Box Score,,17569,
11/10/16,08:00:00 PM,Chicago Bulls,98,Miami Heat,95,Box Score,,19600,
11/10/16,08:00:00 PM,New Orleans Pelicans,112,Milwaukee Bucks,106,Box Score,,12159,
11/10/16,10:30:00 PM,Los Angeles Lakers,101,Sacramento Kings,91,Box Score,,17608,
11/11/16,07:30:00 PM,New York Knicks,87,Boston Celtics,115,Box Score,,18624,
11/11/16,07:00:00 PM,Toronto Raptors,113,Charlotte Hornets,111,Box Score,,18107,
11/11/16,08:00:00 PM,Los Angeles Clippers,110,Oklahoma City Thunder,108,Box Score,,18203,
11/11/16,07:00:00 PM,Utah Jazz,87,Orlando Magic,74,Box Score,,18846,
11/11/16,07:00:00 PM,Indiana Pacers,105,Philadelphia 76ers,109,Box Score,OT,17643,
11/11/16,10:00:00 PM,Sacramento Kings,120,Portland Trail Blazers,122,Box Score,OT,19918,
11/11/16,08:30:00 PM,Detroit Pistons,86,San Antonio Spurs,96,Box Score,,18418,
11/11/16,07:00:00 PM,Cleveland Cavaliers,105,Washington Wizards,94,Box Score,,20356,
11/12/16,07:30:00 PM,Philadelphia 76ers,96,Atlanta Hawks,117,Box Score,,17399,
11/12/16,08:00:00 PM,Washington Wizards,95,Chicago Bulls,106,Box Score,,21962,
11/12/16,09:00:00 PM,Detroit Pistons,106,Denver Nuggets,95,Box Score,,13997,
11/12/16,08:00:00 PM,San Antonio Spurs,106,Houston Rockets,100,Box Score,,18055,
11/12/16,07:00:00 PM,Boston Celtics,105,Indiana Pacers,99,Box Score,,17923,
11/12/16,08:00:00 PM,Utah Jazz,102,Miami Heat,91,Box Score,,19600,
11/12/16,08:30:00 PM,Memphis Grizzlies,96,Milwaukee Bucks,106,Box Score,,14327,
11/12/16,08:00:00 PM,Los Angeles Clippers,119,Minnesota Timberwolves,105,Box Score,,14494,
11/12/16,07:00:00 PM,Los Angeles Lakers,126,New Orleans Pelicans,99,Box Score,,17138,
11/12/16,09:00:00 PM,Brooklyn Nets,122,Phoenix Suns,104,Box Score,,17126,
11/12/16,07:30:00 PM,New York Knicks,107,Toronto Raptors,118,Box Score,,19800,
11/13/16,03:30:00 PM,Charlotte Hornets,93,Cleveland Cavaliers,100,Box Score,,20562,
11/13/16,08:00:00 PM,Phoenix Suns,120,Golden State Warriors,133,Box Score,,19596,
11/13/16,07:00:00 PM,Los Angeles Lakers,99,Minnesota Timberwolves,125,Box Score,,14432,
11/13/16,07:00:00 PM,Orlando Magic,119,Oklahoma City Thunder,117,Box Score,,18203,
11/13/16,09:00:00 PM,Denver Nuggets,105,Portland Trail Blazers,112,Box Score,,19362,
11/14/16,07:30:00 PM,Oklahoma City Thunder,88,Detroit Pistons,104,Box Score,,14172,
11/14/16,08:00:00 PM,Philadelphia 76ers,88,Houston Rockets,115,Box Score,,13183,
11/14/16,07:00:00 PM,Orlando Magic,69,Indiana Pacers,88,Box Score,,14825,
11/14/16,10:30:00 PM,Brooklyn Nets,95,Los Angeles Clippers,127,Box Score,,19060,
11/14/16,08:00:00 PM,Boston Celtics,105,New Orleans Pelicans,106,Box Score,,15001,
11/14/16,07:30:00 PM,Dallas Mavericks,77,New York Knicks,93,Box Score,,19812,
11/14/16,08:30:00 PM,Miami Heat,90,San Antonio Spurs,94,Box Score,,18418,
11/14/16,09:00:00 PM,Memphis Grizzlies,102,Utah Jazz,96,Box Score,,18176,
11/15/16,07:00:00 PM,Toronto Raptors,117,Cleveland Cavaliers,121,Box Score,,20562,
11/15/16,10:30:00 PM,Brooklyn Nets,118,Los Angeles Lakers,125,Box Score,,18426,
11/15/16,07:30:00 PM,Atlanta Hawks,93,Miami Heat,90,Box Score,,19600,
11/15/16,08:00:00 PM,Charlotte Hornets,115,Minnesota Timberwolves,108,Box Score,,10349,
11/15/16,10:00:00 PM,Chicago Bulls,113,Portland Trail Blazers,88,Box Score,,19393,
11/16/16,07:30:00 PM,Milwaukee Bucks,100,Atlanta Hawks,107,Box Score,,14656,
11/16/16,07:30:00 PM,Dallas Mavericks,83,Boston Celtics,90,Box Score,,18624,
11/16/16,09:00:00 PM,Phoenix Suns,104,Denver Nuggets,120,Box Score,,10247,
11/16/16,07:00:00 PM,Cleveland Cavaliers,93,Indiana Pacers,103,Box Score,,17022,
11/16/16,10:30:00 PM,Memphis Grizzlies,111,Los Angeles Clippers,107,Box Score,,19060,
11/16/16,07:30:00 PM,Detroit Pistons,102,New York Knicks,105,Box Score,,19812,
11/16/16,08:00:00 PM,Houston Rockets,103,Oklahoma City Thunder,105,Box Score,,18203,
11/16/16,07:00:00 PM,New Orleans Pelicans,82,Orlando Magic,89,Box Score,,16127,
11/16/16,07:00:00 PM,Washington Wizards,102,Philadelphia 76ers,109,Box Score,,14863,
11/16/16,10:30:00 PM,San Antonio Spurs,110,Sacramento Kings,105,Box Score,,17608,
11/16/16,08:00:00 PM,Golden State Warriors,127,Toronto Raptors,121,Box Score,,21050,
11/17/16,08:00:00 PM,Portland Trail Blazers,109,Houston Rockets,126,Box Score,,15550,
11/17/16,07:30:00 PM,Milwaukee Bucks,73,Miami Heat,96,Box Score,,19600,
11/17/16,08:00:00 PM,Philadelphia 76ers,86,Minnesota Timberwolves,110,Box Score,,16866,
11/17/16,10:30:00 PM,Chicago Bulls,85,Utah Jazz,77,Box Score,,19911,
11/17/16,07:00:00 PM,New York Knicks,112,Washington Wizards,119,Box Score,,16704,
11/18/16,08:00:00 PM,Golden State Warriors,104,Boston Celtics,88,Box Score,,18624,
11/18/16,07:00:00 PM,Atlanta Hawks,96,Charlotte Hornets,100,Box Score,,17989,
11/18/16,07:30:00 PM,Detroit Pistons,81,Cleveland Cavaliers,104,Box Score,,20562,
11/18/16,08:30:00 PM,Memphis Grizzlies,80,Dallas Mavericks,64,Box Score,,19715,
11/18/16,09:00:00 PM,Toronto Raptors,113,Denver Nuggets,111,Box Score,OT,12476,
11/18/16,07:00:00 PM,Phoenix Suns,116,Indiana Pacers,96,Box Score,,16780,
11/18/16,10:30:00 PM,San Antonio Spurs,116,Los Angeles Lakers,107,Box Score,,18997,
11/18/16,08:00:00 PM,Portland Trail Blazers,101,New Orleans Pelicans,113,Box Score,,15552,
11/18/16,08:00:00 PM,Brooklyn Nets,105,Oklahoma City Thunder,124,Box Score,,18203,
11/18/16,10:30:00 PM,Los Angeles Clippers,121,Sacramento Kings,115,Box Score,,17608,
11/19/16,07:00:00 PM,Boston Celtics,94,Detroit Pistons,92,Box Score,,16107,
11/19/16,05:00:00 PM,Utah Jazz,102,Houston Rockets,111,Box Score,,14760,
11/19/16,10:30:00 PM,Chicago Bulls,95,Los Angeles Clippers,102,Box Score,,19060,
11/19/16,08:00:00 PM,Minnesota Timberwolves,71,Memphis Grizzlies,93,Box Score,,17112,
11/19/16,08:30:00 PM,Golden State Warriors,124,Milwaukee Bucks,121,Box Score,,18717,
11/19/16,07:00:00 PM,Charlotte Hornets,116,New Orleans Pelicans,121,Box Score,OT,15739,
11/19/16,07:00:00 PM,Dallas Mavericks,87,Orlando Magic,95,Box Score,,18846,
11/19/16,07:30:00 PM,Phoenix Suns,105,Philadelphia 76ers,120,Box Score,,18125,
11/19/16,07:00:00 PM,Miami Heat,114,Washington Wizards,111,Box Score,,15848,
11/20/16,03:30:00 PM,Portland Trail Blazers,129,Brooklyn Nets,109,Box Score,,16608,
11/20/16,09:00:00 PM,Utah Jazz,91,Denver Nuggets,105,Box Score,,12565,
11/20/16,09:30:00 PM,Chicago Bulls,118,Los Angeles Lakers,110,Box Score,,18997,
11/20/16,12:00:00 PM,Atlanta Hawks,94,New York Knicks,104,Box Score,,19812,
11/20/16,07:00:00 PM,Indiana Pacers,115,Oklahoma City Thunder,111,Box Score,OT,18203,
11/20/16,09:00:00 PM,Toronto Raptors,99,Sacramento Kings,102,Box Score,,17608,
11/21/16,07:00:00 PM,Memphis Grizzlies,105,Charlotte Hornets,90,Box Score,,14181,
11/21/16,07:30:00 PM,Houston Rockets,99,Detroit Pistons,96,Box Score,,13632,
11/21/16,07:00:00 PM,Golden State Warriors,120,Indiana Pacers,83,Box Score,,17923,
11/21/16,10:30:00 PM,Toronto Raptors,115,Los Angeles Clippers,123,Box Score,,19060,
11/21/16,08:00:00 PM,Orlando Magic,89,Milwaukee Bucks,93,Box Score,,12306,
11/21/16,08:00:00 PM,Boston Celtics,99,Minnesota Timberwolves,93,Box Score,,13167,
11/21/16,07:00:00 PM,Miami Heat,94,Philadelphia 76ers,101,Box Score,,16477,
11/21/16,08:30:00 PM,Dallas Mavericks,91,San Antonio Spurs,96,Box Score,,18418,
11/21/16,07:00:00 PM,Phoenix Suns,101,Washington Wizards,106,Box Score,,12790,
11/22/16,07:30:00 PM,New Orleans Pelicans,112,Atlanta Hawks,94,Box Score,,19120,
11/22/16,09:00:00 PM,Chicago Bulls,107,Denver Nuggets,110,Box Score,,14328,
11/22/16,10:30:00 PM,Oklahoma City Thunder,109,Los Angeles Lakers,111,Box Score,,18997,
11/22/16,07:30:00 PM,Portland Trail Blazers,103,New York Knicks,107,Box Score,,19812,
11/23/16,07:30:00 PM,Boston Celtics,111,Brooklyn Nets,92,Box Score,,16210,
11/23/16,07:00:00 PM,San Antonio Spurs,119,Charlotte Hornets,114,Box Score,,18515,
11/23/16,07:00:00 PM,Portland Trail Blazers,125,Cleveland Cavaliers,137,Box Score,,20562,
11/23/16,08:30:00 PM,Los Angeles Clippers,124,Dallas Mavericks,104,Box Score,,20042,
11/23/16,07:30:00 PM,Miami Heat,84,Detroit Pistons,107,Box Score,,14520,
11/23/16,10:30:00 PM,Los Angeles Lakers,106,Golden State Warriors,149,Box Score,,19596,
11/23/16,08:00:00 PM,Toronto Raptors,115,Houston Rockets,102,Box Score,,18055,
11/23/16,07:00:00 PM,Atlanta Hawks,96,Indiana Pacers,85,Box Score,,16032,
11/23/16,09:30:00 PM,Minnesota Timberwolves,96,New Orleans Pelicans,117,Box Score,,15555,
11/23/16,07:00:00 PM,Phoenix Suns,92,Orlando Magic,87,Box Score,,17069,
11/23/16,07:00:00 PM,Memphis Grizzlies,104,Philadelphia 76ers,99,Box Score,2OT,15880,
11/23/16,10:30:00 PM,Oklahoma City Thunder,101,Sacramento Kings,116,Box Score,,17608,
11/23/16,09:00:00 PM,Denver Nuggets,83,Utah Jazz,108,Box Score,,19229,
11/25/16,01:00:00 PM,San Antonio Spurs,109,Boston Celtics,103,Box Score,,18624,
11/25/16,07:30:00 PM,Dallas Mavericks,90,Cleveland Cavaliers,128,Box Score,,20562,
11/25/16,09:00:00 PM,Oklahoma City Thunder,132,Denver Nuggets,129,Box Score,OT,14327,
11/25/16,07:30:00 PM,Los Angeles Clippers,97,Detroit Pistons,108,Box Score,,17023,
11/25/16,08:00:00 PM,Brooklyn Nets,97,Indiana Pacers,118,Box Score,,16083,
11/25/16,10:30:00 PM,Golden State Warriors,109,Los Angeles Lakers,85,Box Score,,18997,
11/25/16,08:00:00 PM,Miami Heat,90,Memphis Grizzlies,81,Box Score,,17222,
11/25/16,08:00:00 PM,Toronto Raptors,105,Milwaukee Bucks,99,Box Score,,16223,
11/25/16,07:30:00 PM,Charlotte Hornets,111,New York Knicks,113,Box Score,OT,19812,
11/25/16,07:00:00 PM,Washington Wizards,94,Orlando Magic,91,Box Score,,17103,
11/25/16,07:30:00 PM,Chicago Bulls,105,Philadelphia 76ers,89,Box Score,,18234,
11/25/16,09:00:00 PM,Minnesota Timberwolves,98,Phoenix Suns,85,Box Score,,16728,
11/25/16,10:00:00 PM,New Orleans Pelicans,104,Portland Trail Blazers,119,Box Score,,19393,
11/25/16,10:30:00 PM,Houston Rockets,117,Sacramento Kings,104,Box Score,,17608,
11/25/16,08:00:00 PM,Atlanta Hawks,68,Utah Jazz,95,Box Score,,19911,
11/26/16,07:00:00 PM,New York Knicks,102,Charlotte Hornets,107,Box Score,,19195,
11/26/16,10:30:00 PM,Minnesota Timberwolves,102,Golden State Warriors,115,Box Score,,19596,
11/26/16,08:00:00 PM,Memphis Grizzlies,110,Miami Heat,107,Box Score,,19600,
11/26/16,08:00:00 PM,Detroit Pistons,88,Oklahoma City Thunder,106,Box Score,,18203,
11/26/16,07:00:00 PM,San Antonio Spurs,112,Washington Wizards,100,Box Score,,17066,
11/27/16,06:00:00 PM,Sacramento Kings,122,Brooklyn Nets,105,Box Score,,13646,
11/27/16,07:00:00 PM,New Orleans Pelicans,81,Dallas Mavericks,91,Box Score,,19302,
11/27/16,06:00:00 PM,Los Angeles Clippers,70,Indiana Pacers,91,Box Score,,15572,
11/27/16,09:30:00 PM,Atlanta Hawks,94,Los Angeles Lakers,109,Box Score,,18997,
11/27/16,06:00:00 PM,Milwaukee Bucks,104,Orlando Magic,96,Box Score,,16521,
11/27/16,01:00:00 PM,Cleveland Cavaliers,112,Philadelphia 76ers,108,Box Score,,19311,
11/27/16,03:30:00 PM,Denver Nuggets,120,Phoenix Suns,114,Box Score,,15365,
11/27/16,09:00:00 PM,Houston Rockets,130,Portland Trail Blazers,114,Box Score,,19393,
11/28/16,10:30:00 PM,Atlanta Hawks,100,Golden State Warriors,105,Box Score,,19596,
11/28/16,08:00:00 PM,Charlotte Hornets,104,Memphis Grizzlies,85,Box Score,,13143,
11/28/16,07:30:00 PM,Boston Celtics,112,Miami Heat,104,Box Score,,19600,
11/28/16,08:00:00 PM,Utah Jazz,112,Minnesota Timberwolves,103,Box Score,,9384,
11/28/16,07:30:00 PM,Oklahoma City Thunder,112,New York Knicks,103,Box Score,,19812,
11/28/16,07:30:00 PM,Philadelphia 76ers,95,Toronto Raptors,122,Box Score,,19800,
11/28/16,07:00:00 PM,Sacramento Kings,95,Washington Wizards,101,Box Score,OT,12571,
11/29/16,07:30:00 PM,Los Angeles Clippers,122,Brooklyn Nets,127,Box Score,2OT,15681,
11/29/16,07:00:00 PM,Detroit Pistons,112,Charlotte Hornets,89,Box Score,,14266,
11/29/16,08:00:00 PM,Cleveland Cavaliers,101,Milwaukee Bucks,118,Box Score,,16559,
11/29/16,08:00:00 PM,Los Angeles Lakers,88,New Orleans Pelicans,105,Box Score,,14024,
11/29/16,08:30:00 PM,Orlando Magic,95,San Antonio Spurs,83,Box Score,,18418,
11/29/16,09:00:00 PM,Houston Rockets,101,Utah Jazz,120,Box Score,,19911,
11/30/16,07:30:00 PM,Detroit Pistons,121,Boston Celtics,114,Box Score,,17338,
11/30/16,08:00:00 PM,Los Angeles Lakers,96,Chicago Bulls,90,Box Score,,21773,
11/30/16,08:30:00 PM,San Antonio Spurs,94,Dallas Mavericks,87,Box Score,,19245,
11/30/16,09:00:00 PM,Miami Heat,106,Denver Nuggets,98,Box Score,,11471,
11/30/16,08:00:00 PM,New York Knicks,106,Minnesota Timberwolves,104,Box Score,,13987,
11/30/16,08:00:00 PM,Washington Wizards,115,Oklahoma City Thunder,126,Box Score,OT,18203,
11/30/16,09:00:00 PM,Atlanta Hawks,107,Phoenix Suns,109,Box Score,,15909,
11/30/16,10:00:00 PM,Indiana Pacers,109,Portland Trail Blazers,131,Box Score,,19107,
11/30/16,07:30:00 PM,Memphis Grizzlies,105,Toronto Raptors,120,Box Score,,19800,
12/01/16,07:30:00 PM,Milwaukee Bucks,111,Brooklyn Nets,93,Box Score,,12675,
12/01/16,07:00:00 PM,Dallas Mavericks,87,Charlotte Hornets,97,Box Score,,14471,
12/01/16,08:00:00 PM,Los Angeles Clippers,113,Cleveland Cavaliers,94,Box Score,,20562,
12/01/16,10:30:00 PM,Houston Rockets,132,Golden State Warriors,127,Box Score,2OT,19596,
12/01/16,08:00:00 PM,Orlando Magic,94,Memphis Grizzlies,95,Box Score,,13344,
12/01/16,09:00:00 PM,Miami Heat,111,Utah Jazz,110,Box Score,,19073,
12/02/16,08:00:00 PM,Detroit Pistons,121,Atlanta Hawks,85,Box Score,,15500,
12/02/16,07:30:00 PM,Sacramento Kings,92,Boston Celtics,97,Box Score,,18624,
12/02/16,08:00:00 PM,Cleveland Cavaliers,105,Chicago Bulls,111,Box Score,,21775,
12/02/16,10:30:00 PM,Houston Rockets,128,Denver Nuggets,110,Box Score,,15549,
12/02/16,08:00:00 PM,Los Angeles Clippers,114,New Orleans Pelicans,96,Box Score,,16538,
12/02/16,07:30:00 PM,Minnesota Timberwolves,114,New York Knicks,118,Box Score,,19812,
12/02/16,07:00:00 PM,Orlando Magic,105,Philadelphia 76ers,88,Box Score,,13711,
